P_ID,Long,Lat,H,h
253,28.76697315,41.21142551,110.201,146.904
356,28.79533233,40.96509749,0.001,36.522
519,29.07621426,41.00109915,66.451,102.937
404,29.02566844,41.07160942,136.259,172.736
769,29.13625772,41.06010755,80.007,116.421
730,28.9865677,41.06637925,112.505,149.026
94,29.07511774,41.00111311,68.812,105.298
642,29.01628143,41.03928453,0,36.494
398,29.11298963,41.07487534,74.173,110.58
649,28.78052842,41.14371938,177.988,214.769
38,28.92255573,41.10313231,26.084,62.684
29,28.95057312,41.19134967,133.411,169.833
674,28.88884106,41.15551824,29.83,66.441
553,29.11810537,41.08826623,148.552,184.937
206,28.91687616,41.06898661,37.943,74.548
169,29.06735302,41.18129827,14.438,50.648
442,29.1425701,41.0351934,95.343,131.788
78,28.75182733,41.07165999,98.19,134.939
133,28.84179052,41.05523802,87.787,124.447
779,29.0094206,41.04042691,2.629,39.129
357,29.03128341,41.12184984,102.401,138.822
511,28.78672659,41.16338073,161.407,198.166
121,28.96653429,41.15695188,178.167,214.624
30,29.00672356,41.09784404,116.405,152.887
732,28.9299846,41.01383233,64.408,100.974
420,29.0068165,41.17734688,149.186,185.522
339,29.06547831,41.21038784,158.474,194.603
2,28.76620718,41.08797121,110.686,147.448
586,29.14082741,40.92686335,47.416,83.96
543,28.87286272,41.00021499,52.271,88.848
517,29.01491046,41.11521764,74.798,111.251
79,28.8082427,41.19467522,151.93,188.609
126,28.9341964,41.05882016,91.617,128.198
14,29.13215849,40.92302641,17.912,54.451
720,28.97531164,41.08850496,59.875,96.403
527,29.05948918,41.19425914,206.609,242.796
736,28.85105531,41.14942355,174.396,211.082
709,28.86808944,41.20767534,63.318,99.871
581,29.10254934,41.1778611,146.356,182.509
701,28.96660674,41.04238428,16.974,53.517
372,29.08288492,40.99116037,18.146,54.642
484,28.78516839,41.16618425,167.417,204.174
669,28.76437544,41.00925397,0,36.627
617,28.83254183,40.98829772,4.7,41.264
570,29.01734113,41.1195054,133.37,169.813
4,28.92606867,41.20629873,109.315,145.759
777,29.02659769,41.10673423,118,154.449
64,28.96424318,41.24994777,6.007,42.298
704,28.95452032,41.19123441,123.428,159.841
218,29.04433679,41.14439315,83.115,119.47
267,29.0210844,41.0925888,66.546,103.015
755,28.81437233,41.03327095,47.187,83.829
16,28.84408775,40.99102956,17.596,54.164
344,29.13089598,41.1402225,118.082,154.32
472,28.86494239,41.0685053,131.47,168.127
491,29.05797424,41.03583545,103.607,140.073
445,28.80243045,41.01050906,59.547,96.156
166,28.86231859,41.13465743,120.282,156.962
113,28.92611373,41.03807713,64.727,101.308
695,28.97023068,41.22590832,111.805,148.123
577,28.95653074,41.13098772,83.735,120.254
